Geografi,År,Kjønn,Alder,Antallganger vises ikke,Sosial status,Måltall,value
Hele landet,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.576121534766
Hele landet,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.9032893229184
Hele landet,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.6532463547711
Hele landet,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.8817116934119
Hele landet,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",13.0568321580627
Hele landet,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",13.7845446764633
Telemark,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",10.2614725947367
Telemark,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",10.3145953568316
Telemark,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",11.5284334974462
Telemark,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",:
Telemark,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",:
Telemark,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.1786666619977
Porsgrunn,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",10.9026228051622
Porsgrunn,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",14.1171771927956
Skien,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Skien,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Skien,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",11.0147492700875
Skien,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Skien,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Skien,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",9.56755204024843
Notodden,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Notodden,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Notodden,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",11.1402738347746
Notodden,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Notodden,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Notodden,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",13.0517061718932
Siljan,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Siljan,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Siljan,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Siljan,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Siljan,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Siljan,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Bamble,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
