Organisasjonsnummer,Navn,Antall_ansatte
988996564,Bilfinger Norway AS,1241
980518647,Eramet Norway AS,667
974241730,Nav Vestfold og Telemark,649
979422679,Lede AS,429
983594506,Stena recycling AS,346
912580202,Maskineriet AS,319
981240987,Tango drift AS,232
981083032,Ulefos AS,226
974761335,Forbrukertilsynet,143
964715378,Laugstol AS,131
989383167,Bypost AS,129
918695079,Pasientreiser HF,127
989086642,At skog sa,94
910402722,Alf johansen AS,92
919767367,Sac drift AS,92
953069466,Kranringen AS,87
991729380,Hybeko AS,73
920997082,Norsk skogrydding AS,69
922704619,Porsgrunn retail AS,68
925750638,Nk energi AS,63
983439977,Aspit AS,58
930730556,Brubakken AS,49
937773609,Skarpenord AS,43
821863902,Energistopp AS,41
986754199,Vms Porsgrunn AS,37
922346313,Nb & partnere AS,37
971225793,Eiendomsmegler 1 Telemark AS,34
932957310,Dalen hotelldrift AS,32
923822410,Vestfold og Telemark revisjon iks,31
828430882,First camp Norge AS,29
925066583,Framtre AS,28
925231460,Brubakken rental AS,27
945482184,Trend sko arkaden AS,26
915232523,Porsgrunds porselænsfabrik AS,24
993034169,Tsg holdco AS,22
987259787,Tvb bolig AS,22
932291746,Stasjonsdrift blandkjenn AS,21
924965126,Stena confidential AS,21
998850371,Aplia AS,21
823164912,Ts site services AS,18
985613931,Porsgrunn kommune spesial- pedagogiske tjenester barnehage,17
982579252,Wienerberger AS,17
991693386,K-konsult bensindrift AS,17
925590711,Telemark eiendomsmegling AS,16
910145487,A amundsen skotøyforretning AS,15
922926743,Agere trafikkskole AS,14
924339470,Nome og Midt-Telemark ikt,14
917471517,Kremen herkules AS,13
918662049,Rare earths Norway AS,12
992811285,Balanzera AS,12
972247480,Haugerud regnskapskontor as avd Notodden,11
971220988,Hjartdal og gransherad rekneskapskontor AS,11
823192452,Hks AS,11
980254364,Midtechnology AS,11
920835163,Dm energy AS,10
926782274,Layerone AS,10
930060690,Amedia annonse Telemark og agder AS,9
990174873,Telerevisjon AS,9
979861699,T midgaard & co AS,9
821551692,Økoråd Bamble AS,8
990652643,Vestmar transport AS,8
973894617,Steinar moe eiendom AS,7
924523913,Telemark kompetanse AS,7
925207950,Northern data nor AS,6
927947242,Godrive AS,5
918488812,Avility AS,5
965292888,Lifjell skisenter AS,5
921197233,Avanti revisjon AS,5
921166389,Regnskapsservice AS,5
984861826,Nome regnskap AS,5
955996836,Vest-telemark kraftlag AS,5
836513452,Skagerak kraft as avd finndøla kraftverk,0
936513506,Skagerak kraft as avd hjartdøla kraftverk,0
812456172,Sec-consult AS,0
820128192,Merdevegen 6 AS,0
820641442,Emso holding AS,0
821399092,Myliana AS,0
825030972,K. nordengen holding AS,0
829615592,Leoma invest AS,0
829857472,Hpp holding AS,0
829871432,Arne bjørn øygarden holding AS,0
830569812,Mindspark AS,0
830906282,Bærø holding AS,0
830975942,Oesk holding AS,0
831257652,Tommy gundersen holding AS,0
831698322,Teselskap AS,0
831719052,Langholmen AS,0
831824352,Ewo holding AS,0
832382892,Stiann holding AS,0
832393622,Pae-mh invest AS,0
832441392,Rich kids AS,0
832447722,Wolter invest AS,0
832749532,Wærmo holding AS,0
832757772,Monami AS,0
834399482,Drawoc holding AS,0
834486482,Fai AS,0
834532182,Hijole invest AS,0
834758172,Foh holding AS,0
834831422,Mochas collections investment limited,0
834862182,Årmot invest AS,0
834923122,Neocisma holding AS,0
835097382,Rureol holding AS,0
835218872,Høgetveit invest AS,0
835256332,Tiramisu holding AS,0
835284972,Skarsnuten holding AS,0
835381412,Gulløy AS,0
835448002,Renegade AS,0
835538362,Jp fadum holding AS,0
835586782,Sørhaugkvartalet holding AS,0
835854442,Irato AS,0
835856682,Rlh holding AS,0
835861902,Ghazot holding AS,0
835897532,Hemstad danmo holding AS,0
835908852,Trappegruppen kapital AS,0
835992152,Kil AS,0
836028562,O johansen invest AS,0
