agency_id;route_id;Linje;route_short_name;route_long_name;route_type;route_short_name_sort;Sortering;Rute - nr og navn;Transport type
TEL:Authority:TFK_ID;TEL:Line:8897;8897;97;Rognsbru-Gimsøy-Kjørbekkhøgda;712;97;8897;97 - Rognsbru-Gimsøy-Kjørbekkhøgda;700
TEL:Authority:TFK_ID;TEL:Line:8815;8815;S15;Skogmo-Porsgrunn;712;S15;8815;S15 - Skogmo-Porsgrunn;700
TEL:Authority:TFK_ID;TEL:Line:8806;8806;S6;Åfoss-Mæla U-skole;712;S6;8806;S6 - Åfoss-Mæla U-skole;700
TEL:Authority:TFK_ID;TEL:Line:8001;8001;M1;Gulset-Skien-Langesund;704;M1;8001;M1 - Gulset-Skien-Langesund;700
TEL:Authority:TFK_ID;TEL:Line:8002;8002;M2;Falkum-Porsgrunn - USN;704;M2;8002;M2 - Falkum-Porsgrunn - USN;700
TEL:Authority:TFK_ID;TEL:Line:8003;8003;M3;Skien-Klyve-Skjelsvik;704;M3;8003;M3 - Skien-Klyve-Skjelsvik;700
TEL:Authority:TFK_ID;TEL:Line:8004;8004;P4;Skotfoss-Bratsberg;704;P4;8004;P4 - Skotfoss-Bratsberg;700
TEL:Authority:TFK_ID;TEL:Line:8005;8005;P5;Skien-Bølehøgda-Herøya;704;P5;8005;P5 - Skien-Bølehøgda-Herøya;700
TEL:Authority:TFK_ID;TEL:Line:8006;8006;P6;Eriksrød-Jønnevall-Skien;704;P6;8006;P6 - Eriksrød-Jønnevall-Skien;700
TEL:Authority:TFK_ID;TEL:Line:8007;8007;P7;Siljan-Skien-Åfoss;704;P7;8007;P7 - Siljan-Skien-Åfoss;700
TEL:Authority:TFK_ID;TEL:Line:8008;8008;P8;Porsgrunn-Stathelle-Cocheplass;704;P8;8008;P8 - Porsgrunn-Stathelle-Cocheplass;700
TEL:Authority:TFK_ID;TEL:Line:8010;8010;P10;Gulset-Kjørbekk-Porsgrunn;704;P10;8010;P10 - Gulset-Kjørbekk-Porsgrunn;700
